開催日,日目,レース,艇,登番,選手名,級,身長,体重,勝率,2連率,3連率,当地勝率,当地2連率,当地3連率,モーター勝率,モーター2連率,モーター3連率,ボート勝率,ボート2連率,ボート3連率,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,算出期間自,算出期間至
2019-01-02,5,1,4,3710,吉永泰弘,B1,167,56,4.56,22.4,41.2,5.07,31.0,54.0,6.52,42.9,76.2,4.71,22.5,45.0,0.17,16,50.0,0.14,2.3,20,30.0,0.17,3.1,26,26.9,0.16,3.2,22,31.8,0.17,2.6,22,9.1,0.2,3.9,11,0.0,0.2,4.9,2018-07-01,2018-12-27
2019-01-02,5,1,2,4931,木谷賢太,A2,162,54,5.31,30.3,51.7,3.82,19.0,31.6,6.47,44.4,66.7,5.38,32.2,51.1,0.16,13,76.9,0.15,3.0,20,45.0,0.15,3.0,17,23.5,0.15,2.5,18,38.9,0.18,3.9,29,27.6,0.18,3.3,13,0.0,0.18,4.5,2018-07-01,2018-12-27
2019-01-02,5,1,3,3578,塩田雄一,B1,160,50,4.97,26.7,48.3,6.04,37.5,63.9,5.7,40.0,60.0,5.02,26.7,46.7,0.19,23,65.2,0.18,3.3,22,13.6,0.2,4.0,28,28.6,0.18,3.5,22,13.6,0.2,4.0,18,16.7,0.17,3.0,25,16.0,0.19,3.9,2018-07-01,2018-12-27
2019-01-02,5,1,6,3660,長谷川親王,B1,169,60,4.11,21.6,33.0,4.13,21.4,35.9,2.94,17.6,23.5,5.38,34.1,51.6,0.2,18,50.0,0.18,3.4,19,31.6,0.2,3.7,18,0.0,0.18,3.7,21,33.3,0.2,3.4,22,0.0,0.2,3.7,15,0.0,0.21,4.0,2018-07-01,2018-12-27
2019-01-02,5,1,5,4529,嶋義信,B1,166,55,4.68,25.3,42.1,5.51,36.7,55.8,4.4,25.7,37.1,5.36,34.4,49.0,0.22,6,83.3,0.12,3.2,11,18.2,0.24,4.3,7,14.3,0.16,3.0,6,16.7,0.16,3.5,8,12.5,0.25,5.0,21,9.5,0.28,5.7,2018-07-01,2018-12-27
2019-01-02,5,2,3,4187,香川友尚,B1,164,57,3.89,16.9,28.2,3.94,20.2,32.1,4.78,37.0,40.7,4.86,28.7,42.6,0.18,10,50.0,0.17,3.6,16,31.3,0.19,3.6,14,21.4,0.14,2.9,12,16.7,0.16,3.3,19,5.3,0.16,3.2,15,13.3,0.23,4.9,2018-07-01,2018-12-27
2019-01-02,5,2,1,3701,大西隆洋,B1,171,61,4.06,21.2,34.1,4.4,24.3,38.7,4.84,24.3,43.2,5.02,22.2,47.8,0.16,11,63.6,0.15,2.5,13,30.8,0.16,3.3,13,15.4,0.16,3.3,15,26.7,0.16,2.4,19,21.1,0.15,2.6,12,0.0,0.17,3.3,2018-07-01,2018-12-27
2019-01-02,5,2,4,4010,越智照浩,B1,166,59,4.44,16.3,43.0,4.37,17.6,37.8,4.57,28.6,42.9,4.84,25.3,44.6,0.2,13,53.8,0.19,3.2,14,21.4,0.19,4.2,21,9.5,0.2,3.2,21,33.3,0.18,3.4,17,11.8,0.22,4.6,13,0.0,0.25,5.0,2018-07-01,2018-12-27
2019-01-02,5,2,5,4221,南部圭史,B1,169,51,3.95,16.3,32.6,4.19,19.3,33.0,4.11,11.1,33.3,5.39,35.3,50.6,0.16,13,38.5,0.13,2.9,14,35.7,0.17,3.6,16,6.3,0.14,2.9,18,22.2,0.18,3.1,17,5.9,0.19,3.6,15,0.0,0.16,3.4,2018-07-01,2018-12-27
2019-01-02,5,2,6,5037,田頭虎親,B2,163,59,1.57,2.0,3.9,1.07,0.0,0.0,7.23,59.0,79.5,5.54,32.6,53.3,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.11,2.5,8,0.0,0.2,5.0,55,1.8,0.22,4.4,2018-07-01,2018-12-27
2019-01-02,5,2,2,4946,船越健吾,B1,167,53,2.19,4.3,8.6,1.81,1.6,4.8,3.58,16.1,32.3,5.68,38.1,49.5,0.15,9,22.2,0.13,2.9,19,10.5,0.15,2.9,12,0.0,0.19,3.8,14,7.1,0.2,3.3,21,9.5,0.14,2.6,25,4.0,0.13,2.8,2018-07-01,2018-12-27
2019-01-02,5,3,3,4034,西原明生,B1,170,56,4.09,19.1,40.0,5.05,31.9,48.3,4.11,27.8,33.3,5.74,38.5,51.6,0.2,12,58.3,0.2,3.5,21,33.3,0.2,4.1,24,33.3,0.19,4.0,23,26.1,0.2,4.7,21,9.5,0.22,4.6,13,0.0,0.23,5.0,2018-07-01,2018-12-27
2019-01-02,5,3,4,4739,中村晃朋,A2,168,53,6.35,50.0,67.8,5.78,41.8,59.2,4.82,36.4,45.5,6.69,48.5,67.0,0.13,37,89.2,0.13,2.0,27,44.4,0.1,2.1,28,46.4,0.14,2.7,26,34.6,0.13,2.4,27,22.2,0.13,2.4,22,9.1,0.15,2.7,2018-07-01,2018-12-27
2019-01-02,5,3,5,3541,三嶌誠司,A1,159,56,5.78,41.2,59.8,7.03,57.1,73.0,6.1,45.2,61.3,3.91,17.9,34.6,0.16,30,80.0,0.16,3.6,25,36.0,0.16,3.5,29,58.6,0.16,2.9,31,45.2,0.16,3.5,20,25.0,0.16,3.4,8,25.0,0.18,4.3,2018-07-01,2018-12-27
2019-01-02,5,3,2,4852,川原祐明,A2,164,54,5.65,35.6,59.6,4.74,27.1,44.8,6.0,42.3,65.4,4.62,24.4,43.3,0.14,18,77.8,0.13,2.4,15,20.0,0.19,3.5,21,23.8,0.13,2.4,18,44.4,0.13,2.3,22,22.7,0.12,2.3,21,4.8,0.16,3.2,2018-07-01,2018-12-27
2019-01-02,5,3,6,3837,秋山広一,A1,168,52,5.93,41.0,61.4,6.33,39.0,67.4,5.89,40.5,59.5,6.1,44.9,59.6,0.17,26,92.3,0.14,2.2,19,63.2,0.16,3.0,17,52.9,0.15,2.9,28,46.4,0.16,3.0,21,28.6,0.2,3.3,13,15.4,0.21,3.8,2018-07-01,2018-12-27
2019-01-02,5,3,1,4154,森安弘雅,B1,164,51,5.22,34.7,50.5,5.21,34.0,47.7,4.79,29.2,41.7,5.3,33.7,48.1,0.17,18,55.6,0.19,3.2,27,40.7,0.17,3.5,21,42.9,0.17,3.2,28,32.1,0.16,3.5,23,21.7,0.17,3.3,15,6.7,0.2,3.7,2018-07-01,2018-12-27
2019-01-02,5,4,4,4220,深川和仁,B1,164,57,4.93,32.1,50.0,6.1,43.9,60.8,5.39,39.3,50.0,4.17,26.7,38.9,0.21,11,54.5,0.16,4.5,14,28.6,0.22,4.2,14,28.6,0.2,3.9,15,26.7,0.2,4.2,9,55.6,0.2,4.0,19,10.5,0.24,5.1,2018-07-01,2018-12-27
2019-01-02,5,4,1,4185,藤原真也,B1,172,52,3.47,14.1,21.9,4.03,21.3,29.8,4.42,33.3,45.5,4.89,28.4,43.2,0.18,15,60.0,0.15,2.5,17,5.9,0.2,4.2,16,6.3,0.13,2.4,19,26.3,0.19,3.6,15,0.0,0.21,3.9,12,0.0,0.23,4.9,2018-07-01,2018-12-27
2019-01-02,5,4,2,4643,近江翔吾,A1,168,54,5.81,44.4,51.5,6.74,53.6,69.3,6.28,41.7,63.9,5.36,27.3,48.5,0.14,31,87.1,0.14,2.1,22,40.9,0.16,3.1,26,46.2,0.13,2.8,29,37.9,0.13,2.4,20,20.0,0.14,2.4,17,11.8,0.14,3.2,2018-07-01,2018-12-27
2019-01-02,5,4,6,3908,重成一人,A1,168,57,6.32,46.8,63.8,7.41,55.4,73.6,3.89,14.8,33.3,4.5,22.6,39.3,0.13,29,82.8,0.14,2.8,20,65.0,0.14,3.4,22,50.0,0.13,2.8,19,21.1,0.14,3.5,19,47.4,0.11,2.1,15,0.0,0.14,3.2,2018-07-01,2018-12-27
2019-01-02,5,4,3,3064,山崎昭生,A2,162,51,5.26,40.2,52.0,5.34,35.3,52.9,4.84,21.9,53.1,6.33,49.4,61.2,0.17,20,75.0,0.18,3.3,20,65.0,0.17,3.3,25,52.0,0.17,3.3,28,21.4,0.18,3.5,20,20.0,0.17,3.4,4,25.0,0.14,2.3,2018-07-01,2018-12-27
2019-01-02,5,4,5,5032,谷口知優,B2,164,52,1.55,0.0,0.0,1.5,0.0,0.0,6.31,53.8,59.0,5.88,43.2,54.7,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.13,5.0,7,14.3,0.2,4.1,68,0.0,0.21,4.4,2018-07-01,2018-12-27
2019-01-02,5,5,3,3543,福田雅一,A1,165,54,6.33,48.6,66.7,5.94,40.1,58.5,5.38,34.6,50.0,5.59,37.9,55.3,0.16,20,90.0,0.13,3.1,22,40.9,0.17,3.0,17,76.5,0.14,2.7,30,40.0,0.2,3.6,20,35.0,0.17,3.4,14,14.3,0.15,3.4,2018-07-01,2018-12-27
2019-01-02,5,5,1,4348,宮崎奨,A2,171,56,6.06,38.1,63.5,6.38,45.0,64.0,4.47,20.6,35.3,4.91,27.8,39.2,0.18,30,86.7,0.17,3.1,21,47.6,0.19,4.0,30,40.0,0.18,3.8,26,50.0,0.2,3.7,25,28.0,0.19,3.7,24,8.3,0.16,3.9,2018-07-01,2018-12-27
2019-01-02,5,5,2,3553,平池仁志,B1,165,56,4.76,30.9,47.4,4.91,27.9,47.5,4.94,27.3,39.4,5.05,30.8,51.6,0.18,23,56.5,0.18,3.1,18,16.7,0.17,3.3,22,31.8,0.15,2.7,29,24.1,0.19,3.2,21,14.3,0.19,3.3,23,8.7,0.2,4.7,2018-07-01,2018-12-27
2019-01-02,5,5,4,4030,森高一真,A1,170,51,5.77,39.3,58.0,7.2,53.8,70.6,5.73,43.3,50.0,4.88,27.2,42.4,0.14,35,91.4,0.14,2.6,25,52.0,0.15,2.9,23,43.5,0.15,3.3,38,28.9,0.14,3.1,18,38.9,0.13,2.7,8,25.0,0.16,3.6,2018-07-01,2018-12-27
2019-01-02,5,5,5,3753,河上哲也,B1,166,56,4.31,26.3,35.8,4.51,24.8,40.7,4.64,21.4,50.0,6.46,50.0,63.0,0.17,17,47.1,0.17,3.3,17,17.6,0.18,3.6,18,38.9,0.15,3.2,27,29.6,0.18,3.4,19,10.5,0.16,3.5,6,16.7,0.2,3.0,2018-07-01,2018-12-27
2019-01-02,5,5,6,5059,冨田祥,B2,165,55,1.27,0.0,0.0,1.29,0.0,0.0,5.0,35.3,58.8,5.7,36.1,58.8,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,62,0.0,0.16,3.5,2018-07-01,2018-12-27
2019-01-02,5,6,1,4260,中越博紀,A1,167,52,5.19,32.7,50.5,6.45,47.5,66.7,5.2,30.0,50.0,5.54,33.3,57.1,0.17,28,78.6,0.15,3.2,27,55.6,0.16,2.7,27,25.9,0.15,3.1,16,43.8,0.17,3.6,23,39.1,0.17,3.6,25,16.0,0.21,4.5,2018-07-01,2018-12-27
2019-01-02,5,6,5,3568,木村光宏,A1,162,54,6.46,51.4,64.0,6.56,50.7,65.3,7.33,61.9,81.0,5.96,40.2,59.8,0.16,36,86.1,0.14,2.5,24,37.5,0.17,3.2,22,59.1,0.19,2.6,28,42.9,0.15,2.6,15,20.0,0.16,3.0,10,10.0,0.18,4.4,2018-07-01,2018-12-27
2019-01-02,5,6,3,3478,嶋田貴支,B1,165,54,5.15,28.4,47.1,5.46,34.8,51.1,5.26,36.8,55.3,5.32,35.4,49.0,0.18,14,71.4,0.16,3.0,17,35.3,0.17,3.3,17,29.4,0.2,3.9,13,38.5,0.19,3.8,23,13.0,0.16,3.0,13,0.0,0.22,4.8,2018-07-01,2018-12-27
2019-01-02,5,6,2,4437,中田元泰,A2,171,56,6.65,48.4,71.0,6.67,48.1,73.1,3.72,12.5,31.2,5.55,31.8,52.3,0.16,25,88.0,0.13,2.4,16,43.8,0.17,4.2,24,50.0,0.17,2.8,20,25.0,0.15,3.2,15,13.3,0.15,4.3,24,4.2,0.18,4.5,2018-07-01,2018-12-27
2019-01-02,5,6,6,3832,下田哲也,A2,167,55,6.01,37.7,67.5,5.36,31.2,55.2,3.04,16.0,16.0,5.21,28.4,49.4,0.16,17,76.5,0.14,2.5,21,47.6,0.14,3.0,13,23.1,0.21,3.5,20,30.0,0.19,3.7,17,5.9,0.15,2.8,21,9.5,0.17,4.7,2018-07-01,2018-12-27
2019-01-02,5,6,4,3234,金森史吉,B1,161,53,3.98,20.8,34.0,4.43,24.2,40.2,5.18,27.3,48.5,4.77,26.5,44.6,0.16,15,53.3,0.15,3.3,21,23.8,0.17,3.3,22,27.3,0.15,3.3,22,18.2,0.16,3.4,16,25.0,0.14,2.9,10,0.0,0.23,4.5,2018-07-01,2018-12-27
2019-01-02,5,7,1,4452,松尾祭,A2,163,53,5.57,40.4,53.8,6.16,45.3,63.4,6.19,50.0,65.4,6.08,47.6,62.1,0.18,27,59.3,0.18,3.4,21,38.1,0.18,3.5,25,56.0,0.16,3.4,25,28.0,0.16,3.3,23,21.7,0.17,4.0,19,15.8,0.23,5.3,2018-07-01,2018-12-27
2019-01-02,5,7,2,4511,中岡健人,B1,161,58,4.56,21.7,40.9,4.55,22.0,39.8,4.05,18.9,35.1,4.79,22.0,45.1,0.16,18,44.4,0.16,3.0,16,31.3,0.14,2.9,18,16.7,0.16,3.7,19,26.3,0.13,3.0,22,13.6,0.16,3.2,19,5.3,0.22,4.2,2018-07-01,2018-12-27
2019-01-02,5,7,3,4583,古田祐貴,A2,167,52,5.37,33.9,57.6,5.88,41.8,60.3,4.68,28.9,44.7,5.08,25.9,51.8,0.16,27,66.7,0.15,1.9,22,31.8,0.17,3.4,26,38.5,0.14,2.8,23,8.7,0.15,3.0,18,11.1,0.16,2.9,22,13.6,0.18,3.6,2018-07-01,2018-12-27
2019-01-02,5,7,6,4459,片岡雅裕,A1,155,54,6.35,51.1,64.0,7.31,55.6,74.5,6.16,52.6,68.4,4.67,25.8,45.2,0.15,32,84.4,0.15,2.2,25,48.0,0.15,2.9,23,47.8,0.16,3.2,28,46.4,0.12,2.4,25,32.0,0.14,2.6,23,26.1,0.15,4.3,2018-07-01,2018-12-27
2019-01-02,5,7,5,3401,上田隆章,A2,159,54,5.52,40.2,53.3,6.29,45.7,62.9,4.59,17.6,35.3,5.69,40.9,53.8,0.18,21,90.5,0.16,2.3,21,47.6,0.16,3.3,15,33.3,0.22,4.1,21,38.1,0.18,3.8,20,20.0,0.18,3.9,18,0.0,0.19,4.4,2018-07-01,2018-12-27
2019-01-02,5,7,4,4154,森安弘雅,B1,164,51,5.22,34.7,50.5,5.21,34.0,47.7,4.79,29.2,41.7,5.3,33.7,48.1,0.17,18,55.6,0.19,3.2,27,40.7,0.17,3.5,21,42.9,0.17,3.2,28,32.1,0.16,3.5,23,21.7,0.17,3.3,15,6.7,0.2,3.7,2018-07-01,2018-12-27
2019-01-02,5,8,1,4331,三好勇人,A2,170,55,5.3,34.9,51.4,6.23,43.6,61.7,6.54,48.6,73.0,5.15,36.4,51.5,0.17,24,91.7,0.15,2.9,20,45.0,0.18,3.4,18,11.1,0.17,3.3,19,31.6,0.15,3.2,17,29.4,0.16,3.6,20,5.0,0.22,5.0,2018-07-01,2018-12-27
2019-01-02,5,8,2,4821,妻鳥晋也,B1,171,56,5.45,34.0,55.3,4.63,21.0,41.0,5.18,36.8,44.7,4.52,20.7,36.8,0.19,18,61.1,0.19,3.8,18,27.8,0.23,4.6,15,26.7,0.19,3.9,22,18.2,0.2,4.3,29,31.0,0.2,3.5,14,14.3,0.14,2.6,2018-07-01,2018-12-27
2019-01-02,5,8,4,3975,小野寺智洋,A2,164,54,5.9,41.0,63.4,5.99,37.6,63.8,6.45,55.0,65.0,4.13,19.8,29.1,0.17,23,73.9,0.17,2.3,26,46.2,0.18,3.3,23,52.2,0.14,2.8,28,35.7,0.16,3.5,22,18.2,0.19,4.3,25,12.0,0.19,4.4,2018-07-01,2018-12-27
2019-01-02,5,8,3,4010,越智照浩,B1,166,59,4.44,16.3,43.0,4.37,17.6,37.8,4.57,28.6,42.9,4.84,25.3,44.6,0.2,13,53.8,0.19,3.2,14,21.4,0.19,4.2,21,9.5,0.2,3.2,21,33.3,0.18,3.4,17,11.8,0.22,4.6,13,0.0,0.25,5.0,2018-07-01,2018-12-27
2019-01-02,5,8,5,4187,香川友尚,B1,164,57,3.89,16.9,28.2,3.94,20.2,32.1,4.78,37.0,40.7,4.86,28.7,42.6,0.18,10,50.0,0.17,3.6,16,31.3,0.19,3.6,14,21.4,0.14,2.9,12,16.7,0.16,3.3,19,5.3,0.16,3.2,15,13.3,0.23,4.9,2018-07-01,2018-12-27
2019-01-02,5,8,6,5032,谷口知優,B2,164,52,1.55,0.0,0.0,1.5,0.0,0.0,6.31,53.8,59.0,5.88,43.2,54.7,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.13,5.0,7,14.3,0.2,4.1,68,0.0,0.21,4.4,2018-07-01,2018-12-27
2019-01-02,5,9,1,3908,重成一人,A1,168,57,6.32,46.8,63.8,7.41,55.4,73.6,3.89,14.8,33.3,4.5,22.6,39.3,0.13,29,82.8,0.14,2.8,20,65.0,0.14,3.4,22,50.0,0.13,2.8,19,21.1,0.14,3.5,19,47.4,0.11,2.1,15,0.0,0.14,3.2,2018-07-01,2018-12-27
2019-01-02,5,9,3,4030,森高一真,A1,170,51,5.77,39.3,58.0,7.2,53.8,70.6,5.73,43.3,50.0,4.88,27.2,42.4,0.14,35,91.4,0.14,2.6,25,52.0,0.15,2.9,23,43.5,0.15,3.3,38,28.9,0.14,3.1,18,38.9,0.13,2.7,8,25.0,0.16,3.6,2018-07-01,2018-12-27
2019-01-02,5,9,2,3541,三嶌誠司,A1,159,56,5.78,41.2,59.8,7.03,57.1,73.0,6.1,45.2,61.3,3.91,17.9,34.6,0.16,30,80.0,0.16,3.6,25,36.0,0.16,3.5,29,58.6,0.16,2.9,31,45.2,0.16,3.5,20,25.0,0.16,3.4,8,25.0,0.18,4.3,2018-07-01,2018-12-27
2019-01-02,5,9,6,4772,石丸海渡,A1,165,58,6.74,50.3,73.5,5.72,42.2,57.8,5.16,36.8,47.4,4.21,23.2,37.8,0.14,39,82.1,0.14,2.3,29,62.1,0.15,2.7,22,63.6,0.13,2.5,28,42.9,0.13,2.6,23,26.1,0.17,3.3,14,14.3,0.18,4.0,2018-07-01,2018-12-27
2019-01-02,5,9,5,4348,宮崎奨,A2,171,56,6.06,38.1,63.5,6.38,45.0,64.0,4.47,20.6,35.3,4.91,27.8,39.2,0.18,30,86.7,0.17,3.1,21,47.6,0.19,4.0,30,40.0,0.18,3.8,26,50.0,0.2,3.7,25,28.0,0.19,3.7,24,8.3,0.16,3.9,2018-07-01,2018-12-27
2019-01-02,5,9,4,4034,西原明生,B1,170,56,4.09,19.1,40.0,5.05,31.9,48.3,4.11,27.8,33.3,5.74,38.5,51.6,0.2,12,58.3,0.2,3.5,21,33.3,0.2,4.1,24,33.3,0.19,4.0,23,26.1,0.2,4.7,21,9.5,0.22,4.6,13,0.0,0.23,5.0,2018-07-01,2018-12-27
2019-01-02,5,10,1,3837,秋山広一,A1,168,52,5.93,41.0,61.4,6.33,39.0,67.4,5.89,40.5,59.5,6.1,44.9,59.6,0.17,26,92.3,0.14,2.2,19,63.2,0.16,3.0,17,52.9,0.15,2.9,28,46.4,0.16,3.0,21,28.6,0.2,3.3,13,15.4,0.21,3.8,2018-07-01,2018-12-27
2019-01-02,5,10,4,3543,福田雅一,A1,165,54,6.33,48.6,66.7,5.94,40.1,58.5,5.38,34.6,50.0,5.59,37.9,55.3,0.16,20,90.0,0.13,3.1,22,40.9,0.17,3.0,17,76.5,0.14,2.7,30,40.0,0.2,3.6,20,35.0,0.17,3.4,14,14.3,0.15,3.4,2018-07-01,2018-12-27
2019-01-02,5,10,2,4260,中越博紀,A1,167,52,5.19,32.7,50.5,6.45,47.5,66.7,5.2,30.0,50.0,5.54,33.3,57.1,0.17,28,78.6,0.15,3.2,27,55.6,0.16,2.7,27,25.9,0.15,3.1,16,43.8,0.17,3.6,23,39.1,0.17,3.6,25,16.0,0.21,4.5,2018-07-01,2018-12-27
2019-01-02,5,10,3,3553,平池仁志,B1,165,56,4.76,30.9,47.4,4.91,27.9,47.5,4.94,27.3,39.4,5.05,30.8,51.6,0.18,23,56.5,0.18,3.1,18,16.7,0.17,3.3,22,31.8,0.15,2.7,29,24.1,0.19,3.2,21,14.3,0.19,3.3,23,8.7,0.2,4.7,2018-07-01,2018-12-27
2019-01-02,5,10,5,4437,中田元泰,A2,171,56,6.65,48.4,71.0,6.67,48.1,73.1,3.72,12.5,31.2,5.55,31.8,52.3,0.16,25,88.0,0.13,2.4,16,43.8,0.17,4.2,24,50.0,0.17,2.8,20,25.0,0.15,3.2,15,13.3,0.15,4.3,24,4.2,0.18,4.5,2018-07-01,2018-12-27
2019-01-02,5,10,6,4185,藤原真也,B1,172,52,3.47,14.1,21.9,4.03,21.3,29.8,4.42,33.3,45.5,4.89,28.4,43.2,0.18,15,60.0,0.15,2.5,17,5.9,0.2,4.2,16,6.3,0.13,2.4,19,26.3,0.19,3.6,15,0.0,0.21,3.9,12,0.0,0.23,4.9,2018-07-01,2018-12-27
2019-01-02,5,11,1,4459,片岡雅裕,A1,155,54,6.35,51.1,64.0,7.31,55.6,74.5,6.16,52.6,68.4,4.67,25.8,45.2,0.15,32,84.4,0.15,2.2,25,48.0,0.15,2.9,23,47.8,0.16,3.2,28,46.4,0.12,2.4,25,32.0,0.14,2.6,23,26.1,0.15,4.3,2018-07-01,2018-12-27
2019-01-02,5,11,3,4452,松尾祭,A2,163,53,5.57,40.4,53.8,6.16,45.3,63.4,6.19,50.0,65.4,6.08,47.6,62.1,0.18,27,59.3,0.18,3.4,21,38.1,0.18,3.5,25,56.0,0.16,3.4,25,28.0,0.16,3.3,23,21.7,0.17,4.0,19,15.8,0.23,5.3,2018-07-01,2018-12-27
2019-01-02,5,11,2,3568,木村光宏,A1,162,54,6.46,51.4,64.0,6.56,50.7,65.3,7.33,61.9,81.0,5.96,40.2,59.8,0.16,36,86.1,0.14,2.5,24,37.5,0.17,3.2,22,59.1,0.19,2.6,28,42.9,0.15,2.6,15,20.0,0.16,3.0,10,10.0,0.18,4.4,2018-07-01,2018-12-27
2019-01-02,5,11,5,4852,川原祐明,A2,164,54,5.65,35.6,59.6,4.74,27.1,44.8,6.0,42.3,65.4,4.62,24.4,43.3,0.14,18,77.8,0.13,2.4,15,20.0,0.19,3.5,21,23.8,0.13,2.4,18,44.4,0.13,2.3,22,22.7,0.12,2.3,21,4.8,0.16,3.2,2018-07-01,2018-12-27
2019-01-02,5,11,4,3064,山崎昭生,A2,162,51,5.26,40.2,52.0,5.34,35.3,52.9,4.84,21.9,53.1,6.33,49.4,61.2,0.17,20,75.0,0.18,3.3,20,65.0,0.17,3.3,25,52.0,0.17,3.3,28,21.4,0.18,3.5,20,20.0,0.17,3.4,4,25.0,0.14,2.3,2018-07-01,2018-12-27
2019-01-02,5,11,6,4331,三好勇人,A2,170,55,5.3,34.9,51.4,6.23,43.6,61.7,6.54,48.6,73.0,5.15,36.4,51.5,0.17,24,91.7,0.15,2.9,20,45.0,0.18,3.4,18,11.1,0.17,3.3,19,31.6,0.15,3.2,17,29.4,0.16,3.6,20,5.0,0.22,5.0,2018-07-01,2018-12-27
2019-01-02,5,12,2,3401,上田隆章,A2,159,54,5.52,40.2,53.3,6.29,45.7,62.9,4.59,17.6,35.3,5.69,40.9,53.8,0.18,21,90.5,0.16,2.3,21,47.6,0.16,3.3,15,33.3,0.22,4.1,21,38.1,0.18,3.8,20,20.0,0.18,3.9,18,0.0,0.19,4.4,2018-07-01,2018-12-27
2019-01-02,5,12,3,4931,木谷賢太,A2,162,54,5.31,30.3,51.7,3.82,19.0,31.6,6.47,44.4,66.7,5.38,32.2,51.1,0.16,13,76.9,0.15,3.0,20,45.0,0.15,3.0,17,23.5,0.15,2.5,18,38.9,0.18,3.9,29,27.6,0.18,3.3,13,0.0,0.18,4.5,2018-07-01,2018-12-27
2019-01-02,5,12,4,4583,古田祐貴,A2,167,52,5.37,33.9,57.6,5.88,41.8,60.3,4.68,28.9,44.7,5.08,25.9,51.8,0.16,27,66.7,0.15,1.9,22,31.8,0.17,3.4,26,38.5,0.14,2.8,23,8.7,0.15,3.0,18,11.1,0.16,2.9,22,13.6,0.18,3.6,2018-07-01,2018-12-27
2019-01-02,5,12,6,3975,小野寺智洋,A2,164,54,5.9,41.0,63.4,5.99,37.6,63.8,6.45,55.0,65.0,4.13,19.8,29.1,0.17,23,73.9,0.17,2.3,26,46.2,0.18,3.3,23,52.2,0.14,2.8,28,35.7,0.16,3.5,22,18.2,0.19,4.3,25,12.0,0.19,4.4,2018-07-01,2018-12-27
2019-01-02,5,12,5,4643,近江翔吾,A1,168,54,5.81,44.4,51.5,6.74,53.6,69.3,6.28,41.7,63.9,5.36,27.3,48.5,0.14,31,87.1,0.14,2.1,22,40.9,0.16,3.1,26,46.2,0.13,2.8,29,37.9,0.13,2.4,20,20.0,0.14,2.4,17,11.8,0.14,3.2,2018-07-01,2018-12-27
2019-01-02,5,12,1,4739,中村晃朋,A2,168,53,6.35,50.0,67.8,5.78,41.8,59.2,4.82,36.4,45.5,6.69,48.5,67.0,0.13,37,89.2,0.13,2.0,27,44.4,0.1,2.1,28,46.4,0.14,2.7,26,34.6,0.13,2.4,27,22.2,0.13,2.4,22,9.1,0.15,2.7,2018-07-01,2018-12-27
2019-01-03,6,1,1,3832,下田哲也,A2,167,55,6.01,37.7,67.5,5.36,31.2,55.2,3.04,16.0,16.0,5.21,28.4,49.4,0.16,17,76.5,0.14,2.5,21,47.6,0.14,3.0,13,23.1,0.21,3.5,20,30.0,0.19,3.7,17,5.9,0.15,2.8,21,9.5,0.17,4.7,2018-07-01,2018-12-27
2019-01-03,6,1,3,3753,河上哲也,B1,166,56,4.31,26.3,35.8,4.51,24.8,40.7,4.64,21.4,50.0,6.46,50.0,63.0,0.17,17,47.1,0.17,3.3,17,17.6,0.18,3.6,18,38.9,0.15,3.2,27,29.6,0.18,3.4,19,10.5,0.16,3.5,6,16.7,0.2,3.0,2018-07-01,2018-12-27
2019-01-03,6,1,4,3710,吉永泰弘,B1,167,56,4.56,22.4,41.2,5.07,31.0,54.0,6.52,42.9,76.2,4.71,22.5,45.0,0.17,16,50.0,0.14,2.3,20,30.0,0.17,3.1,26,26.9,0.16,3.2,22,31.8,0.17,2.6,22,9.1,0.2,3.9,11,0.0,0.2,4.9,2018-07-01,2018-12-27
2019-01-03,6,1,2,3234,金森史吉,B1,161,53,3.98,20.8,34.0,4.43,24.2,40.2,5.18,27.3,48.5,4.77,26.5,44.6,0.16,15,53.3,0.15,3.3,21,23.8,0.17,3.3,22,27.3,0.15,3.3,22,18.2,0.16,3.4,16,25.0,0.14,2.9,10,0.0,0.23,4.5,2018-07-01,2018-12-27
